"testament","book","title","chapter","verse","text","version","language"
"NT",777,"Gospel of Mary Magdalene",1,22,"lest they bind you by them.''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,23,"When He said these things, He went, and the people began to weep:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,24,"``How will we go up to the Gentiles and preach the gospel of the Kingdom of the Son of Man?","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,25,"If they did not spare him, how will they spare us?''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,26,"Then Mary arose and said to her brothers:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,27,"``Do not weep nor grieve, nor break your heart, for His grace will be with you all. It will protect you. Rather, let us praise His greatness, for He has prepared us and made us humans.''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,28,"When Mary said these things, she turned their hearts towards the Lord and they started to debate about the words of the Savior.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,29,"Peter said to Mary: ``Sister, we know that the Savior loved you more than all the other women. Tell us of any of the Savior's words you remember which we ourselves have not yet heard.''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,30,"Then Mary said:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,31,"``I will tell you that which was hidden from you.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,32,"I saw the Lord in a vision and I said to him this:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,33,"`Lord, I can see you in this vision'.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,34,"He answered:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,35,"`You are blessed for you are not intimidated by the sight of me;","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,36,"There where is the mind is the treasure.'","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,37,"I said to him:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,38,"`Lord, when someone has a vision, do they see it through the soul or the spirit?'","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,39,"The Savior answered:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,40,"`They see not through the soul nor the spirit,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,41,"but the mind which exists in between the two which sees the vision,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",2,42,"and it is that...'''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,43,"[Pages 11 through 14 are missing]","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,44,"``...and Desire said:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,45,"`I did not see you descending, but I now see you ascending.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,46,"Why do you lie since you belong to me?'","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,47,"The soul said this:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,48,"`I saw you,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,49,"though you did not see me,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,50,"nor did you recognize me.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,51,"I was with you as with a garment,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,52,"and you never felt me.'","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,53,"When the soul said these things, they went rejoicing greatly.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,54,"Again, they came toward the third hand of power: the Ignorance.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,55,"It asked the soul:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,56,"`Where are you going?","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,57,"In wickedness they bound you.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,58,"They bound you, but you do not judge.'","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,59,"And the soul said this:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,60,"`Why do you judge me when I have not judge?","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,61,"They bound me though I did not bind.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,62,"They did not recognize me","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,63,"but I have recognized","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,64,"that all things break down,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,65,"both on earth and in heaven.'","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,66,"When the soul had overcome the third power,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,67,"they went upwards and saw the fourth power.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,68,"It had seven forms:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,69,"the first form is the Darkness;","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,70,"the second, the Desire;","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,71,"the third, the Ignorance;","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,72,"the fourth is the Zeal of Death;","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,73,"the fifth is the Kingdom of the flesh;","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,74,"the sixth is the Wisdom of fools of the flesh;","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,75,"the seventh is the Wrathful Wisdom.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,76,"These are the seven powers of the Wrath.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,77,"They ask the soul:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,78,"`Where are you coming from, murderer?' and","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,79,"`Where are you going, conqueror?'","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,80,"The soul said:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,81,"`What bound me was slain and what dominated me has been dominated.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,82,"My desire was fulfilled and my ignorance is gone.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,83,"I was freed from this world by another,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,84,"which cannot be forgotten.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",3,85,"I will receive the repose of time for eternity in silence.'''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,86,"After Mary had finished speaking, she kept silent,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,87,"as that is as far as the Savior had told her.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,88,"Andrew turned to his brothers and said:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,89,"``What do you think about what she has told us?","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,90,"As for myself, I don't believe that the Savior said these things,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,91,"as those ideas are too distant from our own.'' Then Peter replied:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,92,"``Would he speak with a woman about secrets which we ourselves would not know?","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,93,"Should we turn and listen to her? Did he choose her over us?''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,94,"Then Mary began to weep:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,95,"``My brother Peter, what are you thinking? Do you think my heart made this up or that I would lie about our Savior?''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,96,"Levi then turned to Peter and said:","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,97,"``Peter, you have always been wrathful,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,98,"and now I see you silencing this woman,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,99,"just as our adversaries do.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,100,"If the Savior found her worthy,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,101,"then who are you to reject her?","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,102,"Surely the Savior knows her very well,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,103,"because he loved her more than us.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,104,"Rather, let us be ashamed of ourselves","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,105,"and take in the purest human form that we acquired from Him,","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,106,"like He commanded us.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,107,"We are to preach the gospel and not lay down any rules nor laws beyond what the Savior said.''","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,108,"After Levi had said these things, they left and began to teach and preach the Gospel of the Kingdom.","KSGM","EN"
"NT",777,"Gospel of Mary Magdalene",4,109,"King Samuel's The Gospel of Mary Magdalene","KSGM","EN"
