"testament","book","title","chapter","verse","text","version","language"
"OT",1,"Genesis",2,1,"The creation of all the elements of the heavens and the earth were completed, and of all that is in them. On the seventh day, God had finished working and rested.","KSV","EN"
"OT",1,"Genesis",2,2,"God bestowed a blessing upon the seventh day and declared it holy, for on that day, God rested from the labor of the creation.","KSV","EN"
"OT",1,"Genesis",2,3,"This is the story of the creation of the heavens and the earth. The days that God made the heavens and the earth.","KSV","EN"
"OT",1,"Genesis",2,4,"God had yet to bring rain to the land, as there was no one to tend to the soil.","KSV","EN"
"OT",1,"Genesis",2,5,"A mist rose from the ground and moistened the surface of the land.","KSV","EN"
"OT",1,"Genesis",2,6,"God then crafted Adam from the dust of the earth and breathed the breath of life into his nostrils, thus creating a living being.","KSV","EN"
"OT",1,"Genesis",2,7,"God planted a beautiful garden in Eden, to the east, and placed Adam there. God grew all sorts of trees in the Garden. They were pleasing to the eye and their fruit was nutritious.","KSV","EN"
"OT",1,"Genesis",2,8,"In the center of the garden stood two trees:","KSV","EN"
"OT",1,"Genesis",2,9,"The Tree of Life and The Tree of Knowledge of Good and Evil.","KSV","EN"
"OT",1,"Genesis",2,10,"A river flowed through Eden providing water for the garden, which split into four branches.","KSV","EN"
"OT",1,"Genesis",2,11,"Pishon was the first of the rivers, and it encircled the entire country of Havilah, a place abundant in gold. The gold found in that land was of exceptional quality, as was the bdellium and onyx stones.","KSV","EN"
"OT",1,"Genesis",2,12,"Gihon was the second river; it encircled the entire region of Cush.","KSV","EN"
"OT",1,"Genesis",2,13,"The third river was called the Tigris, which flowed east of Assyria.","KSV","EN"
"OT",1,"Genesis",2,14,"The fourth river was the Euphrates.","KSV","EN"
"OT",1,"Genesis",2,15,"God then placed Adam in the Garden of Eden to tend and care for it.","KSV","EN"
"OT",1,"Genesis",2,16,"God instructed Adam, saying, ``You may eat from any tree in the garden, but do not eat the fruit from the Tree of Knowledge of Good and Evil, for if you do, you will certainly perish''.","KSV","EN"
"OT",1,"Genesis",2,17,"God said, ``It is not good for one to be alone, so I will help them find a companion''.","KSV","EN"
"OT",1,"Genesis",2,18,"From the earth, God brought all the fish that move through the water, as well as every type of bird, and the cattle, and all crawling critters, and even the wild beasts.","KSV","EN"
"OT",1,"Genesis",2,19,"He then presented them to Adam to name them. Whatever Adam called each living creature, that became its name.","KSV","EN"
"OT",1,"Genesis",2,20,"Adam named all the fish that move through the water, as well as every type of bird, and the cattle, and all crawling critters, and even the wild beasts, but Adam could not find his companion.","KSV","EN"
"OT",1,"Genesis",2,21,"God caused Adam to fall into a deep slumber, and he drifted off to sleep. He then removed one of Adam's ribs and sealed up the wound.","KSV","EN"
"OT",1,"Genesis",2,22,"God then crafted Eve from the rib He had taken from Adam, and presented her to him.","KSV","EN"
"OT",1,"Genesis",2,23,"Adam had found his companion. ``She is a part of me, my equal; she shall be called: woman.''","KSV","EN"
"OT",1,"Genesis",2,24,"Their sons would leave their parents and devote themselves to their wife, becoming one.","KSV","EN"
"OT",1,"Genesis",2,25,"Adam and Eve were both naked, yet were comfortable in each other's presence.","KSV","EN"
"OT",1,"Genesis",3,1,"The serpant was more cunning and sly than any other creature in the garden that God had created. They asked the woman ``Is it true that God has forbidden you to eat from any tree in the garden?''","KSV","EN"
"OT",1,"Genesis",3,2,"The woman said to the serpent: `We are allowed to eat the fruit from the trees in the garden,","KSV","EN"
"OT",1,"Genesis",3,3,"but God has forbidden us from eating or touching the fruit from the tree in the middle of the garden, lest we perish.'","KSV","EN"
"OT",1,"Genesis",3,4,"The serpent told the woman `You will not die.","KSV","EN"
"OT",1,"Genesis",3,5,"God knows that once you consume it your eyes will be opened and you will be like God, knowing the distinction between good and evil, just like a deity.'","KSV","EN"
"OT",1,"Genesis",3,6,"Upon seeing that the fruit from the tree appeared safe to eat, was pleasing to the eye, and would make her wise, the woman took some of its fruit and ate it. She also gave some to Adam, her husband, who also ate it.","KSV","EN"
"OT",1,"Genesis",3,7,"Suddenly, Adam and the woman's eyes were open, and they realized that they were naked. They rushed to fashion garments out of fig leaves to cover themselves.","KSV","EN"
"OT",1,"Genesis",3,8,"During the cooler hours of the day, they heard God walking through the garden and hid from God among the trees.","KSV","EN"
"OT",1,"Genesis",3,9,"But God called to Adam and said `Where are you, Adam?'.","KSV","EN"
"OT",1,"Genesis",3,10,"He said `I heard you walking through the garden and I was scared because I am naked.'","KSV","EN"
"OT",1,"Genesis",3,11,"God asked Adam `Who informed you that you were naked? Did you consume the fruit from the tree which I instructed you to avoid?'.","KSV","EN"
"OT",1,"Genesis",3,12,"Adam said `the woman, my companion, she presented me with the fruit from the tree and I consumed it'.","KSV","EN"
"OT",1,"Genesis",3,13,"God then asked the woman `What have you done?', and she replied `The serpent tricked me and I ate the fruit from the tree.'","KSV","EN"
"OT",1,"Genesis",3,14,"God then turned towards the serpent and said `As punishment for your actions, you are cursed more so than any other animal, and more than any wild creature in the field. You will crawl on your belly and consume dust for the rest of your life.","KSV","EN"
"OT",1,"Genesis",3,15,"Your relationship with the descendants of the woman will be a hostile one. They will crush your head and you will strike at their heels.'","KSV","EN"
"OT",1,"Genesis",3,16,"God then told the woman `The labor pains of your pregnancy will be greatly increased, and you will experience great distress while giving birth. Adam will exert authority over you.'","KSV","EN"
"OT",1,"Genesis",3,17,"And to Adam, God said `Because you obeyed your companion and ate the fruit from the tree which I forbade you from eating, the ground is now cursed and you will have to work hard to gather food.","KSV","EN"
"OT",1,"Genesis",3,18,"The land will produce thorns and thistles, and you will have to eat the vegetation from the fields.","KSV","EN"
"OT",1,"Genesis",3,19,"And after your hard work gathering your food until you die, you shall return to the dust, for that is where you came from. From the dust you came, and to the dust you will return.'","KSV","EN"
"OT",1,"Genesis",3,20,"Twas then that Adam named the woman Eve, The Life Spring, as she was to be the source of life for all living beings.","KSV","EN"
"OT",1,"Genesis",3,21,"God crafted Adam and Eve tunics made from animal hides and clothed them.","KSV","EN"
"OT",1,"Genesis",3,22,"God then said `Look, Adam has become like Us, able to distinguish between good and evil. We must not let them reach out and take fruit from the Tree of Life and eat it, or they will live forever.'","KSV","EN"
"OT",1,"Genesis",3,23,"Consequently, God cast them out of the Garden of Eden to cultivate the soil from which Adam had come from.","KSV","EN"
"OT",1,"Genesis",3,24,"God expelled Adam and Eve and placed Cherubim and a fiery sword at the eastern entrance. The flaming sword moved in all directions to guard the Tree of Life.","KSV","EN"
